family                    , RMSE                  , MAE                   , R2
AUTOMOTIVE                ,    58.10526482166365  ,    44.71394178801311  , 0.49803117922703544
BABY CARE                 ,     4.881953807793441 ,     4.315050456796631 , -0.5361265058730884
BEAUTY                    ,    57.734682063444076 ,    43.59675003157859  , 0.4540776055712106
BEVERAGES                 , 28811.946486564753    , 19974.9611782916      , -0.13439998687604904
BOOKS                     ,     0.7375494729295521,     0.6123172388075186, -0.025191616381320836
BREAD/BAKERY              ,  6943.318650685997    ,  6243.887310445179    , -2.6794523931967102
CELEBRATION               ,    90.10836682390386  ,    79.65286143064726  , 0.587996670875979
CLEANING                  , 30990.956779196564    , 28762.17608627698     , -6.162456772128181
DAIRY                     ,  9052.795141883138    ,  8257.368720458882    , -0.995445590099274
DELI                      ,  1780.0595043918343   ,  1504.7234119546488   , 0.5045605604293446
EGGS                      ,   791.2935082437025   ,   617.5347981295573   , 0.8706254664052886
FROZEN FOODS              ,   736.9912827320104   ,   547.3749538380421   , 0.8072756230718745
GROCERY I                 , 29489.62089131373     , 21981.263967838495    , 0.15756503437016312
GROCERY II                ,   497.02735969529897  ,   444.10679106436646  , -5.068397517298866
HARDWARE                  ,    11.438798673599724 ,     9.791676027170245 , 0.48362350631936424
HOME AND KITCHEN I        ,   797.2168118369707   ,   737.4305725073452   , -9.002462736269079
HOME AND KITCHEN II       ,  1229.2478118074266   ,  1075.5274391976673   , -21.2679472264964
HOME APPLIANCES           ,     6.766441368745376 ,     5.501213178966645 , -0.6336804740846689
HOME CARE                 ,  7541.597340643662    ,  7286.527676153658    , -7.25446831836539
LADIESWEAR                ,   149.9733947530889   ,   130.2278285722323   , 0.26118441645068
LAWN AND GARDEN           ,    90.10978598991646  ,    67.925106881948    , 0.6889962971906028
LINGERIE                  ,    52.56469633253928  ,    39.753971329598926 , -0.2671533617645274
"LIQUOR,WINE,BEER"        ,  5522.611007616511    ,  4102.494352970702    , -3.2996229927081
MAGAZINES                 ,   124.9229185524192   ,   114.50345040087362  , -0.4677122993828502
MEATS                     ,  2667.597428002166    ,  2366.089885094169    , 0.5145011246018438
PERSONAL CARE             ,  9359.273832212019    ,  8889.98341385319     , -6.5034672500025374
PET SUPPLIES              ,    72.79238766657645  ,    63.900214703349725 , 0.3592625846805474
PLAYERS AND ELECTRONICS   ,    86.83351237162772  ,    72.40045502601423  , 0.34461631649096336
POULTRY                   ,  2816.8588636470777   ,  2472.9638034638892   , 0.4534228266721454
PREPARED FOODS            ,   306.0806826528363   ,   267.37068044745536  , 0.43747982977214817
PRODUCE                   , 16004.008436084654    , 12427.08469019256     , 0.31586821418777467
SCHOOL AND OFFICE SUPPLIES,  3181.4149755844337   ,  2315.623866315086    , -15.364839637024676
SEAFOOD                   ,   111.51900079285052  ,    88.48730223477585  , 0.5892155789017324
